City,lat,lon
Москва,55.755836,37.617774
Санкт-Петербург,59.939022,30.315794
Новосибирск,55.014458,82.942926
Екатеринбург,56.839656,60.61642
Казань,55.798875,49.130025
Нижний Новгород,56.301157,43.928022
Челябинск,55.157389,61.402709
Самара,53.20698,50.180997
Уфа,54.773241,56.023289
Ростов-на-Дону,47.222099,39.691771
Омск,54.982328,73.380907
Красноярск,56.005498,92.830745
Воронеж,51.696954,39.1873
Пермь,58.007079,56.248179
Волгоград,48.653067,44.428131
Краснодар,45.024359,38.971526
Тюмень,57.199953,65.533853
Саратов,51.533296,46.034329
Тольятти,53.530074,49.370176
Ижевск,56.847944,53.228653
Барнаул,53.376571,83.749103
Ульяновск,54.307622,48.38901
Иркутск,52.28779,104.280722
Хабаровск,48.479195,135.070113
Махачкала,42.96703,47.511053
Владивосток,43.120645,131.887051
Ярославль,57.625601,39.891254
Оренбург,51.767519,55.097593
Томск,56.488128,84.948637
Кемерово,55.344258,86.061715
Новокузнецк,53.74774,87.118981
Рязань,54.612965,39.690839
Набережные Челны,55.734543,52.401881
Киров,58.603569,49.666551
Севастополь,44.606409,33.517786
Астрахань,46.344266,48.029908
Балашиха,55.795805,37.939022
Пенза,53.213469,44.988893
Калининград,54.723292,20.453339
Чебоксары,56.139692,47.249282
Липецк,52.580639,39.578539
Тула,54.194016,37.619384
Ставрополь,45.035209,41.97818
Курск,51.730617,36.192605
Улан-Удэ,51.836038,107.639962
Сочи,43.593975,39.727081
Тверь,56.849983,35.912735
Магнитогорск,53.391732,58.980122
Иваново,56.994695,40.982507
Брянск,53.259082,34.352027
Сургут,61.254127,73.39642
Белгород,50.60219,36.584032
Чита,52.04413,113.490273
Владимир,56.131185,40.411693
Архангельск,64.533112,40.555373
Якутск,62.037655,129.707847
Нижний Тагил,57.930736,59.970463
Калуга,54.523258,36.271892
Симферополь,44.956077,34.107918
Грозный,43.337619,45.692289
Волжский,48.80588,44.740272
Саранск,54.1965,45.171362
Смоленск,54.766268,32.053037
Подольск,55.428437,37.543237
Череповец,59.13406,37.942811
Вологда,59.22062,39.891739
Курган,55.440693,65.341521
Владикавказ,43.060184,44.667151
Орел,52.970866,36.064256
Тамбов,52.729678,41.433131
Петрозаводск,61.781066,34.356133
Нижневартовск,60.933784,76.572051
Йошкар-Ола,56.637319,47.887645
Мурманск,68.964734,33.081028
Новороссийск,44.71582,37.778853
Кострома,57.767909,40.926793
Стерлитамак,53.630499,55.930724
Мытищи,55.909761,37.736381
Химки,55.892937,37.425445
