,City,Pop_2022,Pop_2021
0,Москва,12635466,12655050
1,Санкт-Петербург,5377503,5384342
2,Новосибирск,1621330,1620162
3,Екатеринбург,1493600,1495066
4,Казань,1259173,1257341
5,Нижний Новгород,1233949,1244254
6,Челябинск,1179288,1187960
7,Самара,1136709,1144759
8,Уфа,1135061,1125933
9,Ростов-на-Дону,1134694,1137704
10,Омск,1126193,1139897
11,Красноярск,1103023,1092851
12,Воронеж,1048738,1050602
13,Пермь,1042763,1049199
14,Волгоград,1001183,1004763
15,Краснодар,974319,948827
16,Тюмень,828575,816700
17,Саратов,818383,830155
18,Тольятти,685619,693072
19,Ижевск,645183,646468
20,Барнаул,627789,631124
21,Ульяновск,622868,625462
22,Иркутск,617249,617515
23,Хабаровск,613480,610305
24,Махачкала,603614,604266
25,Владивосток,601270,600871
26,Ярославль,593958,601403
27,Оренбург,572308,572819
28,Томск,570776,568508
29,Кемерово,548177,552546
30,Новокузнецк,539863,544583
31,Рязань,529401,534801
32,Набережные Челны,528366,532074
33,Киров,523543,521091
34,Севастополь,522057,509992
35,Астрахань,518695,524371
36,Балашиха,518260,507307
37,Пенза,509513,516450
38,Калининград,498260,493256
39,Чебоксары,497920,495810
40,Липецк,496447,503216
41,Тула,461245,467955
42,Ставрополь,458233,454488
43,Курск,447387,450977
44,Улан-Удэ,436406,437514
45,Сочи,433562,432322
46,Тверь,424912,424969
47,Магнитогорск,411984,413251
48,Иваново,399983,401505
49,Брянск,396343,399579
50,Сургут,395940,387235
51,Белгород,391804,391702
52,Чита,350047,350861
53,Владимир,348663,352347
54,Архангельск,342164,344927
55,Якутск,341221,330615
56,Нижний Тагил,340690,344656
57,Калуга,335599,331842
58,Симферополь,334856,336212
59,Грозный,326439,324602
60,Волжский,321427,323853
61,Саранск,317681,317432
62,Смоленск,317170,320170
63,Подольск,309652,309250
64,Череповец,309429,312091
65,Вологда,306593,308530
66,Курган,304727,309285
67,Владикавказ,298841,301543
68,Орёл,298172,303696
69,Тамбов,287407,289701
70,Петрозаводск,280890,280711
71,Нижневартовск,280834,278725
72,Йошкар-Ола,279399,276155
73,Мурманск,279064,282851
74,Новороссийск,277185,275795
75,Кострома,277021,277393
76,Стерлитамак,275022,274134
77,Мытищи,262702,245643
78,Химки,256319,257757
